date,Open,High,Low,Close,Adj Close,Volume
4/11/19,5325.081543,5354.225586,5017.296387,5064.487793,5064.487793,16555616019
4/12/19,5061.200684,5103.274414,4955.852539,5089.539063,5089.539063,13675206312
4/13/19,5088.850098,5127.12207,5061.589355,5096.586426,5096.586426,10823289598
4/14/19,5095.758789,5184.016113,5053.568359,5167.722168,5167.722168,10391952498
4/15/19,5167.321777,5196.606934,5024.069336,5067.108398,5067.108398,12290155061
4/16/19,5066.577637,5238.945313,5055.194824,5235.55957,5235.55957,11618660197
4/17/19,5236.135254,5274.275391,5219.205566,5251.937988,5251.937988,12438480677
4/18/19,5251.480469,5319.986328,5250.506836,5298.385742,5298.385742,13256489918
4/19/19,5298.154297,5336.680176,5233.334961,5303.8125,5303.8125,13780238655
4/20/19,5304.160645,5358.490723,5295.87793,5337.88623,5337.88623,13169647522
4/21/19,5335.878906,5359.924805,5257.339355,5314.53125,5314.53125,13731844223
4/22/19,5312.494629,5422.6875,5280.276855,5399.365234,5399.365234,14601631648
4/23/19,5399.365723,5633.802246,5389.408691,5572.362305,5572.362305,15867308108
4/24/19,5571.508301,5642.044434,5418.263184,5464.866699,5464.866699,17048033399
4/25/19,5466.524414,5542.238281,5181.338867,5210.515625,5210.515625,15330283408
4/26/19,5210.304688,5383.634277,5177.368652,5279.348145,5279.348145,16812108040
4/27/19,5279.471191,5310.75,5233.635742,5268.291016,5268.291016,13111274675
4/28/19,5271.746582,5326.231934,5255.683594,5285.13916,5285.13916,12819992056
4/29/19,5284.858398,5311.274902,5216.487793,5247.352539,5247.352539,13735490672
4/30/19,5247.726074,5363.257324,5224.189941,5350.726563,5350.726563,13878964574
5/1/19,5350.914551,5418.003906,5347.645996,5402.697266,5402.697266,13679528236
5/2/19,5402.422852,5522.262695,5394.217285,5505.283691,5505.283691,14644460907
5/3/19,5505.552246,5865.881836,5490.20166,5768.289551,5768.289551,18720780006
5/4/19,5769.202637,5886.893555,5645.469238,5831.16748,5831.16748,17567780766
5/5/19,5831.068359,5833.862793,5708.035156,5795.708496,5795.708496,14808830723
5/6/19,5791.693359,5802.95752,5653.6875,5746.807129,5746.807129,15737171804
5/7/19,5745.599121,5988.178223,5741.395996,5829.501465,5829.501465,18026409033
5/8/19,5849.481445,5989.980957,5794.71582,5982.45752,5982.45752,15320605300
5/9/19,5982.316406,6183.039063,5982.316406,6174.528809,6174.528809,16784645411
5/10/19,6175.822754,6434.617676,6161.519043,6378.849121,6378.849121,19419875368
5/11/19,6379.666992,7333.00293,6375.69873,7204.771484,7204.771484,28867562329
5/12/19,7203.507324,7503.87207,6815.770996,6972.371582,6972.371582,27773333680
5/13/19,6971.178223,8047.413086,6898.282227,7814.915039,7814.915039,28677672181
5/14/19,7807.884277,8268.712891,7696.391113,7994.416016,7994.416016,32031452227
5/15/19,7989.374512,8216.423828,7899.106934,8205.167969,8205.167969,28344112920
5/16/19,8194.500977,8320.824219,7729.608398,7884.90918,7884.90918,33167197581
5/17/19,7886.925781,7929.145508,7038.124512,7343.895508,7343.895508,30066644905
5/18/19,7341.664551,7447.271973,7251.504395,7271.208008,7271.208008,21354286562
5/19/19,7267.962891,8261.941406,7267.962891,8197.689453,8197.689453,25902422040
5/20/19,8196.923828,8200.967773,7678.781738,7978.309082,7978.309082,23843404340
5/21/19,7977.969238,8062.167969,7843.339844,7963.327637,7963.327637,25127245056
5/22/19,7956.291992,7997.612305,7615.987305,7680.066406,7680.066406,24719473175
5/23/19,7677.269043,7943.791504,7533.196777,7881.84668,7881.84668,24457107820
5/24/19,7881.695313,8140.719727,7824.44873,7987.371582,7987.371582,25919126991
5/25/19,7991.885254,8117.925781,7965.976074,8052.543945,8052.543945,22256813107
5/26/19,8055.206055,8687.520508,7924.67041,8673.21582,8673.21582,26677970091
5/27/19,8674.072266,8907.174805,8668.705078,8805.77832,8805.77832,27949839564
5/28/19,8802.757813,8807.016602,8634.72168,8719.961914,8719.961914,24226919267
5/29/19,8718.591797,8755.852539,8482.728516,8659.487305,8659.487305,23473479966
5/30/19,8661.760742,9008.314453,8221.273438,8319.472656,8319.472656,29246528551
5/31/19,8320.286133,8586.65918,8172.550781,8574.501953,8574.501953,25365190957
6/1/19,8573.839844,8625.600586,8481.578125,8564.016602,8564.016602,22488303544
6/2/19,8565.473633,8809.303711,8561.235352,8742.958008,8742.958008,20266216022
6/3/19,8741.74707,8743.5,8204.185547,8208.995117,8208.995117,22004511436
6/4/19,8210.985352,8210.985352,7564.48877,7707.770996,7707.770996,24609731549
6/5/19,7704.343262,7901.849121,7668.668457,7824.231445,7824.231445,21760923463
6/6/19,7819.633301,7937.34082,7571.471191,7822.023438,7822.023438,19474611077
6/7/19,7826.901367,8126.15332,7788.373535,8043.951172,8043.951172,19141423231
6/8/19,8036.774902,8076.891113,7837.61084,7954.12793,7954.12793,16522722810
6/9/19,7949.674805,7975.974121,7583.219727,7688.077148,7688.077148,16610726547
6/10/19,7692.284668,8031.909668,7586.730957,8000.32959,8000.32959,18689275117
6/11/19,8004.243652,8026.394043,7772.803711,7927.714355,7927.714355,17107279932
6/12/19,7925.434082,8196.648438,7862.359863,8145.857422,8145.857422,19034432883
6/13/19,8145.54541,8311.567383,8087.061035,8230.923828,8230.923828,18669407147
6/14/19,8230.898438,8710.636719,8183.393066,8693.833008,8693.833008,19831162906
6/15/19,8689.746094,8859.12793,8618.395508,8838.375,8838.375,18371033226
6/16/19,8841.44043,9335.867188,8814.556641,8994.488281,8994.488281,23348550311
6/17/19,8988.923828,9416.407227,8988.923828,9320.352539,9320.352539,15562951919
6/18/19,9335.466797,9348.374023,9004.901367,9081.762695,9081.762695,15848210536
6/19/19,9078.727539,9299.621094,9070.395508,9273.521484,9273.521484,15546809946
6/20/19,9273.060547,9594.419922,9232.484375,9527.160156,9527.160156,17846823784
6/21/19,9525.074219,10144.55664,9525.074219,10144.55664,10144.55664,20624008643
6/22/19,10175.92383,11157.3457,10107.03516,10701.69141,10701.69141,29995204861
6/23/19,10696.69141,11246.14453,10556.0957,10855.37109,10855.37109,20998326502
6/24/19,10853.74414,11065.89648,10610.42773,11011.10254,11011.10254,19271652365
6/25/19,11007.20215,11790.91699,11007.20215,11790.91699,11790.91699,24879684533
6/26/19,11778.58106,13796.48926,11755.59766,13016.23145,13016.23145,45105733173
6/27/19,13017.125,13311.14453,10491.85254,11182.80664,11182.80664,39977475223
6/28/19,11162.16797,12445.17481,10914.49512,12407.33203,12407.33203,35087757766
6/29/19,12400.76367,12400.91016,11508.37891,11959.37109,11959.37109,29923961128
6/30/19,11931.99121,12178.38379,10799.00879,10817.15527,10817.15527,27256473494
7/1/19,10796.93066,11206.43945,10089.31445,10583.13477,10583.13477,29378589324
7/2/19,10588.68359,10912.18848,9737.884766,10801.67773,10801.67773,31015895223
7/3/19,10818.15625,11968.07813,10818.15625,11961.26953,11961.26953,30796494294
7/4/19,11972.71875,12006.0752,11166.56934,11215.4375,11215.4375,25920294033
7/5/19,11203.10254,11395.66113,10874.96484,10978.45996,10978.45996,23838480210
7/6/19,10982.54395,11620.96484,10982.54395,11208.55078,11208.55078,21092024306
7/7/19,11217.61621,11541.62012,11148.80469,11450.84668,11450.84668,19369044277
7/8/19,11446.59668,12345.83301,11393.37402,12285.95801,12285.95801,23482551458
7/9/19,12284.32617,12779.13184,12233.26172,12573.8125,12573.8125,28167921523
7/10/19,12571.53711,13129.5293,11710.97852,12156.5127,12156.5127,33627574244
7/11/19,12139.71387,12144.62305,11158.92285,11358.66211,11358.66211,28595327690
7/12/19,11354.29981,11905.48731,11179.14453,11815.98633,11815.98633,23534692797
7/13/19,11813.12695,11841.95703,10908.47949,11392.37891,11392.37891,21042616384
7/14/19,11381.02051,11451.2041,10234.57617,10256.05859,10256.05859,22486000001
7/15/19,10257.83887,11052.7666,9992.006836,10895.08984,10895.08984,25384047207
7/16/19,10896.65332,10996.63281,9448.106445,9477.641602,9477.641602,24151199070
7/17/19,9471.213867,9963.134766,9163.134766,9693.802734,9693.802734,24569921549
7/18/19,9698.50293,10736.84277,9376.798828,10666.48242,10666.48242,25187024648
7/19/19,10653.95606,10716.98047,10229.62891,10530.73242,10530.73242,20727426310
7/20/19,10525.81934,11048.66211,10451.27637,10767.13965,10767.13965,20206615155
7/21/19,10777.5293,10841.8877,10389.59961,10599.10547,10599.10547,17130580467
7/22/19,10596.94824,10651.79102,10154.92188,10343.10645,10343.10645,16334414913
7/23/19,10346.74805,10346.74805,9883.594727,9900.767578,9900.767578,17851916995
7/24/19,9887.730469,9908.796875,9614.306641,9811.925781,9811.925781,17398734322
7/25/19,9809.09668,10154.25391,9773.957031,9911.841797,9911.841797,15821952090
7/26/19,9913.126953,9916.517578,9717.982422,9870.303711,9870.303711,14495714483
7/27/19,9871.165039,10167.32031,9411.521484,9477.677734,9477.677734,16817809536
